Temp	Angle
70	14.566763817457712
72	14.36676495206262
76	13.958947745659948
79	13.842250445396306
80	14.062233941363655
81	14.164481660859435
82	13.644920077057852
83	16.05105425712509
84	16.946291474517636
88	14.517250267120515
90	14.812497343521393
92	14.909529728904824
95	15.149750049575438
99	15.572431410235492
101	15.664760062104937
103	15.47951102071653
105	15.49807512012817
107	15.19723560223263
108	14.467431393709289
110	14.714782428919893
112	14.492366710359095
113	14.71483172643352
114	14.90962714716339
116	15.19723560223263
117	15.19728351556049
118	15.432861083778489
120	15.47951102071653
121	15.50279421762357
122	15.641659794319336
124	15.93852679413553
126	16.02872451831346
128	16.340422696182255
130	16.428372035990673
132	16.775436725404766
134	16.98868003302815
136	17.073264364537486
138	17.489700840762882
140	17.571775935268896
142	18.135371393478422
146	18.56620029806044
150	19.137639105226686
155	20.212605841820736
