Temp,mean,std
70,0.09992991226666666,0.000374050863386257
72,0.10021843376666666,0.0006953646814387653
76,0.10079538633333333,0.0006035292426697995
79,0.100957661775,0.0003705080578049057
80,0.1006507112,0.0004506274181609
81,0.10050652253333332,0.0005445296179662703
82,0.10122919573333333,0.0005741518757654341
83,0.097675465775,0.00036966688331754226
84,0.09622091373333332,0.00012242648949636062
88,0.10000168193333332,0.00012468364037375923
90,0.0995704149,0.00032924384788735435
92,0.09942694816666665,0.0004484779782429934
95,0.09906810076666667,0.00021498330910966763
99,0.09842405459999999,0.0
101,0.09828123866666667,0.00012368222633185212
103,0.09856701526666667,0.0001238075690752901
105,0.09853851573333333,0.00027583424619914633
107,0.09899654809999998,0.0003282031450480105
108,0.10007366806666666,0.00012468364037376324
110,0.09971402613333331,0.00021563355907382184
112,0.10003766596666668,0.00010797920113357085
113,0.0997139539,0.0
114,0.0994268037,0.00032886549083179607
116,0.09899654809999998,0.00032820314504801353
117,0.0989964758,0.00024824133225254797
118,0.0986384956,0.0
120,0.09856701526666667,0.0001238075690752901
121,0.09853126606666668,0.00010722050114158963
122,0.09831704216666666,0.00028348388725622857
124,0.09785329766666667,0.00012343142537493278
126,0.09771084376666667,0.00012330596716141035
128,0.09721301586666668,0.00012305487752934955
130,0.09707099680000002,0.0001229293615808295
132,0.09650393606666667,0.0002123756592982523
134,0.09615030336666665,0.00024472723210410344
136,0.09600893743333333,0.0001223007426077368
138,0.09530392409999999,0.00012192304006162985
140,0.09516321223333334,0.00012179706223288727
142,0.09418143203333333,0.0005559153761626346
146,0.09341279686666666,0.00043522560592541143
150,0.09236937293333332,0.00012015536674246138
155,0.0903339063,0.00017828397333992594
