          Index             Ts             Tr          Value
                          [°C]           [°C]           [mW]
            182            0.0        55.3333       -1.47231
            183            0.0           55.5       -1.47289
            184            0.0        55.6667       -1.47348
            185            0.0        55.8333       -1.47413
            186            0.0             56       -1.47479
            187            0.0        56.1667       -1.47546
            188            0.0        56.3333       -1.47615
            189            0.0           56.5       -1.47694
            190            0.0        56.6667       -1.47772
            191            0.0        56.8333       -1.47851
            192            0.0             57       -1.47931
            193            0.0        57.1667       -1.48021
            194            0.0        57.3333       -1.48113
            195            0.0           57.5       -1.48206
            196            0.0        57.6667         -1.483
            197            0.0        57.8333       -1.48402
            198            0.0             58         -1.485
            199            0.0        58.1667       -1.48602
            200            0.0        58.3333       -1.48705
            201            0.0           58.5       -1.48809
            202            0.0        58.6667       -1.48912
            203            0.0        58.8333       -1.49016
            204            0.0             59       -1.49119
            205            0.0        59.1667       -1.49225
            206            0.0        59.3333        -1.4933
            207            0.0           59.5       -1.49434
            208            0.0        59.6667        -1.4954
            209            0.0        59.8333       -1.49646
            210            0.0             60       -1.49752
            211            0.0        60.1667       -1.49859
            212            0.0        60.3333       -1.49967
            213            0.0           60.5       -1.50077
            214            0.0        60.6667       -1.50186
            215            0.0        60.8333       -1.50297
            216            0.0             61       -1.50408
            217            0.0        61.1667       -1.50521
            218            0.0        61.3333       -1.50633
            219            0.0           61.5       -1.50745
            220            0.0        61.6667       -1.50858
            221            0.0        61.8333       -1.50971
            222            0.0             62       -1.51082
            223            0.0        62.1667        -1.5119
            224            0.0        62.3333       -1.51298
            225            0.0           62.5       -1.51405
            226            0.0        62.6667       -1.51513
            227            0.0        62.8333        -1.5162
            228            0.0             63       -1.51727
            229            0.0        63.1667       -1.51836
            230            0.0        63.3333       -1.51946
            231            0.0           63.5       -1.52056
            232            0.0        63.6667       -1.52165
            233            0.0        63.8333       -1.52274
            234            0.0             64       -1.52379
            235            0.0        64.1667       -1.52483
            236            0.0        64.3333       -1.52587
            237            0.0           64.5       -1.52684
            238            0.0        64.6667       -1.52785
            239            0.0        64.8333       -1.52886
            240            0.0             65       -1.52985
            241            0.0        65.1667       -1.53081
            242            0.0        65.3333       -1.53179
            243            0.0           65.5       -1.53278
            244            0.0        65.6667       -1.53377
            245            0.0        65.8333       -1.53473
            246            0.0             66        -1.5357
            247            0.0        66.1667       -1.53666
            248            0.0        66.3333       -1.53761
            249            0.0           66.5       -1.53849
            250            0.0        66.6667       -1.53934
            251            0.0        66.8333       -1.54019
            252            0.0             67       -1.54102
            253            0.0        67.1667       -1.54175
            254            0.0        67.3333       -1.54253
            255            0.0           67.5        -1.5433
            256            0.0        67.6667       -1.54404
            257            0.0        67.8333       -1.54474
            258            0.0             68       -1.54544
            259            0.0        68.1667       -1.54614
            260            0.0        68.3333       -1.54684
            261            0.0           68.5       -1.54746
            262            0.0        68.6667       -1.54811
            263            0.0        68.8333       -1.54875
            264            0.0             69       -1.54937
            265            0.0        69.1667       -1.54991
            266            0.0        69.3333       -1.55045
            267            0.0           69.5       -1.55097
            268            0.0        69.6667       -1.55146
            269            0.0        69.8333       -1.55185
            270            0.0             70        -1.5523
            271            0.0        70.1667       -1.55276
            272            0.0        70.3333       -1.55319
            273            0.0           70.5       -1.55353
            274            0.0        70.6667       -1.55384
            275            0.0        70.8333       -1.55413
            276            0.0             71        -1.5544
            277            0.0        71.1667       -1.55467
            278            0.0        71.3333       -1.55477
            279            0.0           71.5       -1.55491
            280            0.0        71.6667       -1.55501
            281            0.0        71.8333       -1.55508
            282            0.0             72       -1.55506
            283            0.0        72.1667       -1.55505
            284            0.0        72.3333       -1.55501
            285            0.0           72.5       -1.55494
            286            0.0        72.6667       -1.55475
            287            0.0        72.8333       -1.55458
            288            0.0             73       -1.55439
            289            0.0        73.1667       -1.55418
            290            0.0        73.3333       -1.55386
            291            0.0           73.5       -1.55356
            292            0.0        73.6667       -1.55323
            293            0.0        73.8333       -1.55287
            294            0.0             74       -1.55241
            295            0.0        74.1667       -1.55197
            296            0.0        74.3333       -1.55152
            297            0.0           74.5       -1.55105
            298            0.0        74.6667       -1.55045
            299            0.0        74.8333       -1.54985
            300            0.0             75       -1.54922
            301            0.0        75.1667       -1.54857
            302            0.0        75.3333       -1.54782
            303            0.0           75.5       -1.54711
            304            0.0        75.6667       -1.54639
            305            0.0        75.8333       -1.54564
            306            0.0             76       -1.54479
            307            0.0        76.1667       -1.54392
            308            0.0        76.3333       -1.54299
            309            0.0           76.5       -1.54204
            310            0.0        76.6667       -1.54095
            311            0.0        76.8333        -1.5399
            312            0.0             77       -1.53885
            313            0.0        77.1667       -1.53781
            314            0.0        77.3333       -1.53692
            315            0.0           77.5       -1.53615
            316            0.0        77.6667       -1.53554
            317            0.0        77.8333       -1.53507
            318            0.0             78       -1.53509
            319            0.0        78.1667       -1.53506
            320            0.0        78.3333       -1.53516
            321            0.0           78.5       -1.53537
            322            0.0        78.6667       -1.53621
            323            0.0        78.8333       -1.53701
            324            0.0             79       -1.53797
            325            0.0        79.1667       -1.53908
            326            0.0        79.3333       -1.54084
            327            0.0           79.5        -1.5424
            328            0.0        79.6667       -1.54437
            329            0.0        79.8333       -1.54659
            330            0.0             80       -1.54973
            331            0.0        80.1667       -1.55273
            332            0.0        80.3333        -1.5564
            333            0.0           80.5       -1.56054
            334            0.0        80.6667        -1.5657
            335            0.0        80.8333       -1.57081
            336            0.0             81       -1.57619
            337            0.0        81.1667       -1.57979
            338            0.0        81.3333       -1.58496
            339            0.0           81.5       -1.59514
            340            0.0        81.6667       -1.60748
            341            0.0        81.8333       -1.62115
            342            0.0             82       -1.63584
            343            0.0        82.1667       -1.65188
            344            0.0        82.3333       -1.66984
            345            0.0           82.5       -1.68913
            346            0.0        82.6667       -1.71212
            347            0.0        82.8333       -1.73698
            348            0.0             83       -1.76452
            349            0.0        83.1667       -1.79399
            350            0.0        83.3333       -1.82798
            351            0.0           83.5        -1.8659
            352            0.0        83.6667       -1.90691
            353            0.0        83.8333       -1.95025
            354            0.0             84       -1.99876
            355            0.0        84.1667       -2.05123
            356            0.0        84.3333       -2.10647
            357            0.0           84.5       -2.16357
            358            0.0        84.6667       -2.22401
            359            0.0        84.8333       -2.28478
            360            0.0             85       -2.34521
            361            0.0        85.1667       -2.40479
            362            0.0        85.3333       -2.46062
            363            0.0           85.5       -2.51114
            364            0.0        85.6667       -2.55482
            365            0.0        85.8333       -2.59311
            366            0.0             86        -2.6156
            367            0.0        86.1667        -2.6285
            368            0.0        86.3333       -2.62992
            369            0.0           86.5       -2.62337
            370            0.0        86.6667       -2.59811
            371            0.0        86.8333       -2.56443
            372            0.0             87       -2.52208
            373            0.0        87.1667       -2.47443
            374            0.0        87.3333       -2.41716
            375            0.0           87.5       -2.35899
            376            0.0        87.6667       -2.30073
            377            0.0        87.8333       -2.24206
            378            0.0             88       -2.18619
            379            0.0        88.1667       -2.13234
            380            0.0        88.3333       -2.08163
            381            0.0           88.5        -2.0341
            382            0.0        88.6667       -1.99389
            383            0.0        88.8333       -1.95608
            384            0.0             89        -1.9228
            385            0.0        89.1667       -1.89157
            386            0.0        89.3333       -1.86507
            387            0.0           89.5       -1.84211
            388            0.0        89.6667       -1.82178
            389            0.0        89.8333       -1.80334
            390            0.0             90       -1.78923
            391            0.0        90.1667        -1.7766
            392            0.0        90.3333       -1.76588
            393            0.0           90.5       -1.75634
            394            0.0        90.6667        -1.7494
            395            0.0        90.8333       -1.74329
            396            0.0             91       -1.73766
            397            0.0        91.1667       -1.73255
            398            0.0        91.3333       -1.72867
            399            0.0           91.5       -1.72503
            400            0.0        91.6667       -1.72208
            401            0.0        91.8333       -1.71982
            402            0.0             92       -1.71813
            403            0.0        92.1667       -1.71646
            404            0.0        92.3333       -1.71517
            405            0.0           92.5       -1.71432
            406            0.0        92.6667       -1.71383
            407            0.0        92.8333       -1.71327
            408            0.0             93       -1.71287
            409            0.0        93.1667       -1.71258
            410            0.0        93.3333       -1.71285
            411            0.0           93.5       -1.71298
            412            0.0        93.6667       -1.71318
            413            0.0        93.8333       -1.71343
            414            0.0             94       -1.71402
            415            0.0        94.1667       -1.71452
            416            0.0        94.3333       -1.71507
            417            0.0           94.5       -1.71569
            418            0.0        94.6667       -1.71637
            419            0.0        94.8333       -1.71726
            420            0.0             95       -1.71811
            421            0.0        95.1667       -1.71899
            422            0.0        95.3333       -1.71989
            423            0.0           95.5       -1.72092
            424            0.0        95.6667       -1.72189
            425            0.0        95.8333       -1.72286
            426            0.0             96       -1.72384
            427            0.0        96.1667       -1.72484
            428            0.0        96.3333       -1.72585
            429            0.0           96.5       -1.72687
            430            0.0        96.6667       -1.72789
            431            0.0        96.8333       -1.72894
            432            0.0             97       -1.72995
            433            0.0        97.1667       -1.73094
            434            0.0        97.3333       -1.73193
            435            0.0           97.5       -1.73289
            436            0.0        97.6667       -1.73387
            437            0.0        97.8333       -1.73487
            438            0.0             98       -1.73587
            439            0.0        98.1667       -1.73686
            440            0.0        98.3333       -1.73785
            441            0.0           98.5       -1.73883
            442            0.0        98.6667       -1.73982
            443            0.0        98.8333       -1.74083
            444            0.0             99       -1.74194
            445            0.0        99.1667       -1.74314
            446            0.0        99.3333       -1.74438
            447            0.0           99.5       -1.74574
            448            0.0        99.6667       -1.74705
            449            0.0        99.8333       -1.74835
            450            0.0            100       -1.74964
            451            0.0        100.167       -1.75088
            452            0.0        100.333       -1.75206
            453            0.0          100.5        -1.7532
            454            0.0        100.667       -1.75432
            455            0.0        100.833       -1.75532
            456            0.0            101       -1.75638
            457            0.0        101.167       -1.75746
            458            0.0        101.333       -1.75856
            459            0.0          101.5       -1.75969
            460            0.0        101.667        -1.7608
            461            0.0        101.833       -1.76192
            462            0.0            102       -1.76305
            463            0.0        102.167       -1.76421
            464            0.0        102.333       -1.76537
            465            0.0          102.5       -1.76655
            466            0.0        102.667       -1.76773
            467            0.0        102.833       -1.76894
            468            0.0            103       -1.77016
            469            0.0        103.167       -1.77141
            470            0.0        103.333       -1.77269
            471            0.0          103.5       -1.77405
            472            0.0        103.667        -1.7754
            473            0.0        103.833       -1.77678
            474            0.0            104       -1.77818
            475            0.0        104.167       -1.77973
            476            0.0        104.333       -1.78125
            477            0.0          104.5        -1.7828
            478            0.0        104.667       -1.78437
            479            0.0        104.833       -1.78607
            480            0.0            105       -1.78773
            481            0.0        105.167       -1.78944
            482            0.0        105.333       -1.79119
            483            0.0          105.5       -1.79312
            484            0.0        105.667       -1.79508
            485            0.0        105.833       -1.79713
            486            0.0            106       -1.79926
            487            0.0        106.167       -1.80181
            488            0.0        106.333       -1.80439
            489            0.0          106.5       -1.80715
            490            0.0        106.667       -1.81006
            491            0.0        106.833       -1.81358
            492            0.0            107       -1.81693
            493            0.0        107.167       -1.82072
            494            0.0        107.333       -1.82478
            495            0.0          107.5       -1.82986
            496            0.0        107.667       -1.83481
            497            0.0        107.833       -1.84058
            498            0.0            108       -1.84693
            499            0.0        108.167       -1.85438
            500            0.0        108.333       -1.86288
            501            0.0          108.5       -1.87284
            502            0.0        108.667       -1.88381
            503            0.0        108.833       -1.89781
            504            0.0            109       -1.91384
            505            0.0        109.167       -1.93272
            506            0.0        109.333       -1.95334
            507            0.0          109.5       -1.98288
            508            0.0        109.667        -2.0186
            509            0.0        109.833       -2.06383
            510            0.0            110       -2.11669
            511            0.0        110.167       -2.19778
            512            0.0        110.333       -2.30228
            513            0.0          110.5       -2.44309
            514            0.0        110.667       -2.61383
            515            0.0        110.833       -2.87795
            516            0.0            111       -3.19711
            517            0.0        111.167       -3.57896
            518            0.0        111.333       -4.00174
