          Index             Ts             Tr          Value,
           1153            0.0        142.833        1.25501,
           1154            0.0        142.667        1.25536,
           1155            0.0          142.5         1.2557,
           1156            0.0        142.333        1.25602,
           1157            0.0        142.167        1.25635,
           1158            0.0            142        1.25669,
           1159            0.0        141.833        1.25703,
           1160            0.0        141.667        1.25738,
           1161            0.0          141.5        1.25773,
           1162            0.0        141.333        1.25808,
           1163            0.0        141.167        1.25842,
           1164            0.0            141        1.25874,
           1165            0.0        140.833        1.25906,
           1166            0.0        140.667        1.25938,
           1167            0.0          140.5        1.25971,
           1168            0.0        140.333        1.26006,
           1169            0.0        140.167        1.26043,
           1170            0.0            140        1.26085,
           1171            0.0        139.833        1.26126,
           1172            0.0        139.667        1.26166,
           1173            0.0          139.5        1.26205,
           1174            0.0        139.333        1.26245,
           1175            0.0        139.167        1.26282,
           1176            0.0            139        1.26317,
           1177            0.0        138.833        1.26352,
           1178            0.0        138.667        1.26383,
           1179            0.0          138.5        1.26419,
           1180            0.0        138.333        1.26456,
           1181            0.0        138.167        1.26492,
           1182            0.0            138        1.26533,
           1183            0.0        137.833        1.26573,
           1184            0.0        137.667        1.26613,
           1185            0.0          137.5        1.26653,
           1186            0.0        137.333        1.26693,
           1187            0.0        137.167        1.26732,
           1188            0.0            137        1.26769,
           1189            0.0        136.833        1.26803,
           1190            0.0        136.667        1.26835,
           1191            0.0          136.5        1.26868,
           1192            0.0        136.333        1.26901,
           1193            0.0        136.167        1.26936,
           1194            0.0            136        1.26965,
           1195            0.0        135.833        1.26997,
           1196            0.0        135.667        1.27029,
           1197            0.0          135.5        1.27059,
           1198            0.0        135.333        1.27086,
           1199            0.0        135.167         1.2711,
           1200            0.0            135        1.27135,
           1201            0.0        134.833        1.27159,
           1202            0.0        134.667        1.27184,
           1203            0.0          134.5        1.27209,
           1204            0.0        134.333        1.27237,
           1205            0.0        134.167        1.27268,
           1206            0.0            134        1.27299,
           1207            0.0        133.833        1.27335,
           1208            0.0        133.667        1.27365,
           1209            0.0          133.5        1.27392,
           1210            0.0        133.333         1.2742,
           1211            0.0        133.167        1.27442,
           1212            0.0            133        1.27465,
           1213            0.0        132.833        1.27488,
           1214            0.0        132.667         1.2751,
           1215            0.0          132.5        1.27534,
           1216            0.0        132.333        1.27561,
           1217            0.0        132.167        1.27591,
           1218            0.0            132        1.27621,
           1219            0.0        131.833        1.27659,
           1220            0.0        131.667        1.27694,
           1221            0.0          131.5         1.2773,
           1222            0.0        131.333        1.27767,
           1223            0.0        131.167        1.27808,
           1224            0.0            131         1.2785,
           1225            0.0        130.833        1.27892,
           1226            0.0        130.667        1.27934,
           1227            0.0          130.5         1.2798,
           1228            0.0        130.333        1.28024,
           1229            0.0        130.167        1.28066,
           1230            0.0            130         1.2811,
           1231            0.0        129.833        1.28156,
           1232            0.0        129.667          1.282,
           1233            0.0          129.5        1.28242,
           1234            0.0        129.333        1.28285,
           1235            0.0        129.167        1.28328,
           1236            0.0            129        1.28371,
           1237            0.0        128.833        1.28412,
           1238            0.0        128.667        1.28453,
           1239            0.0          128.5        1.28494,
           1240            0.0        128.333        1.28537,
           1241            0.0        128.167         1.2858,
           1242            0.0            128        1.28623,
           1243            0.0        127.833        1.28666,
           1244            0.0        127.667        1.28706,
           1245            0.0          127.5        1.28747,
           1246            0.0        127.333        1.28787,
           1247            0.0        127.167        1.28827,
           1248            0.0            127         1.2887,
           1249            0.0        126.833        1.28913,
           1250            0.0        126.667        1.28956,
           1251            0.0          126.5        1.29002,
           1252            0.0        126.333        1.29043,
           1253            0.0        126.167        1.29082,
           1254            0.0            126         1.2912,
           1255            0.0        125.833        1.29157,
           1256            0.0        125.667        1.29195,
           1257            0.0          125.5        1.29232,
           1258            0.0        125.333        1.29269,
           1259            0.0        125.167        1.29311,
           1260            0.0            125        1.29355,
           1261            0.0        124.833        1.29401,
           1262            0.0        124.667         1.2945,
           1263            0.0          124.5        1.29509,
           1264            0.0        124.333        1.29567,
           1265            0.0        124.167        1.29627,
           1266            0.0            124        1.29689,
           1267            0.0        123.833         1.2976,
           1268            0.0        123.667        1.29826,
           1269            0.0          123.5         1.2989,
           1270            0.0        123.333        1.29952,
           1271            0.0        123.167        1.30011,
           1272            0.0            123        1.30071,
           1273            0.0        122.833         1.3013,
           1274            0.0        122.667        1.30188,
           1275            0.0          122.5        1.30243,
           1276            0.0        122.333        1.30302,
           1277            0.0        122.167        1.30363,
           1278            0.0            122        1.30426,
           1279            0.0        121.833        1.30492,
           1280            0.0        121.667        1.30558,
           1281            0.0          121.5        1.30623,
           1282            0.0        121.333        1.30688,
           1283            0.0        121.167        1.30758,
           1284            0.0            121        1.30828,
           1285            0.0        120.833        1.30897,
           1286            0.0        120.667        1.30967,
           1287            0.0          120.5        1.31039,
           1288            0.0        120.333        1.31106,
           1289            0.0        120.167         1.3117,
           1290            0.0            120        1.31231,
           1291            0.0        119.833        1.31291,
           1292            0.0        119.667        1.31358,
           1293            0.0          119.5        1.31429,
           1294            0.0        119.333        1.31501,
           1295            0.0        119.167        1.31578,
           1296            0.0            119        1.31653,
           1297            0.0        118.833        1.31727,
           1298            0.0        118.667          1.318,
           1299            0.0          118.5        1.31873,
           1300            0.0        118.333        1.31946,
           1301            0.0        118.167         1.3202,
           1302            0.0            118        1.32094,
           1303            0.0        117.833        1.32166,
           1304            0.0        117.667        1.32242,
           1305            0.0          117.5         1.3232,
           1306            0.0        117.333        1.32399,
           1307            0.0        117.167        1.32482,
           1308            0.0            117        1.32564,
           1309            0.0        116.833        1.32649,
           1310            0.0        116.667        1.32736,
           1311            0.0          116.5        1.32825,
           1312            0.0        116.333        1.32913,
           1313            0.0        116.167        1.33003,
           1314            0.0            116        1.33093,
           1315            0.0        115.833        1.33185,
           1316            0.0        115.667        1.33279,
           1317            0.0          115.5        1.33375,
           1318            0.0        115.333        1.33472,
           1319            0.0        115.167        1.33576,
           1320            0.0            115        1.33681,
           1321            0.0        114.833        1.33788,
           1322            0.0        114.667        1.33899,
           1323            0.0          114.5        1.34022,
           1324            0.0        114.333        1.34143,
           1325            0.0        114.167        1.34266,
           1326            0.0            114        1.34391,
           1327            0.0        113.833         1.3453,
           1328            0.0        113.667        1.34668,
           1329            0.0          113.5        1.34808,
           1330            0.0        113.333        1.34951,
           1331            0.0        113.167        1.35109,
           1332            0.0            113        1.35267,
           1333            0.0        112.833         1.3543,
           1334            0.0        112.667        1.35598,
           1335            0.0          112.5        1.35796,
           1336            0.0        112.333        1.35992,
           1337            0.0        112.167        1.36196,
           1338            0.0            112        1.36433,
           1339            0.0        111.833        1.36701,
           1340            0.0        111.667        1.37032,
           1341            0.0          111.5        1.37592,
           1342            0.0        111.333        1.38327,
           1343            0.0        111.167        1.39497,
           1344            0.0            111        1.40981,
           1345            0.0        110.833        1.42589,
           1346            0.0        110.667        1.44223,
           1347            0.0          110.5        1.45618,
           1348            0.0        110.333         1.4663,
           1349            0.0        110.167        1.47307,
           1350            0.0            110        1.47599,
           1351            0.0        109.833        1.47458,
           1352            0.0        109.667        1.47005,
           1353            0.0          109.5        1.46428,
           1354            0.0        109.333        1.45856,
           1355            0.0        109.167        1.45314,
           1356            0.0            109        1.44787,
           1357            0.0        108.833        1.44265,
           1358            0.0        108.667        1.43751,
           1359            0.0          108.5        1.43292,
           1360            0.0        108.333        1.42825,
           1361            0.0        108.167        1.42371,
           1362            0.0            108         1.4193,
           1363            0.0        107.833        1.41547,
           1364            0.0        107.667        1.41153,
           1365            0.0          107.5        1.40774,
           1366            0.0        107.333        1.40446,
           1367            0.0        107.167         1.4017,
           1368            0.0            107        1.39882,
           1369            0.0        106.833        1.39608,
           1370            0.0        106.667        1.39346,
           1371            0.0          106.5        1.39148,
           1372            0.0        106.333        1.38937,
           1373            0.0        106.167        1.38736,
           1374            0.0            106        1.38543,
           1375            0.0        105.833        1.38395,
           1376            0.0        105.667        1.38231,
           1377            0.0          105.5        1.38071,
           1378            0.0        105.333        1.37917,
           1379            0.0        105.167        1.37789,
           1380            0.0            105        1.37658,
           1381            0.0        104.833        1.37531,
           1382            0.0        104.667        1.37408,
           1383            0.0          104.5        1.37309,
           1384            0.0        104.333        1.37206,
           1385            0.0        104.167        1.37106,
           1386            0.0            104         1.3701,
           1387            0.0        103.833        1.36928,
           1388            0.0        103.667        1.36843,
           1389            0.0          103.5        1.36762,
           1390            0.0        103.333        1.36684,
           1391            0.0        103.167         1.3662,
           1392            0.0            103        1.36552,
           1393            0.0        102.833        1.36486,
           1394            0.0        102.667        1.36422,
           1395            0.0          102.5        1.36369,
           1396            0.0        102.333        1.36315,
           1397            0.0        102.167        1.36264,
           1398            0.0            102        1.36216,
           1399            0.0        101.833        1.36176,
           1400            0.0        101.667        1.36136,
           1401            0.0          101.5        1.36094,
           1402            0.0        101.333        1.36052,
           1403            0.0        101.167        1.36013,
           1404            0.0            101        1.35972,
           1405            0.0        100.833        1.35933,
           1406            0.0        100.667        1.35895,
           1407            0.0          100.5        1.35857,
           1408            0.0        100.333        1.35819,
           1409            0.0        100.167        1.35783,
           1410            0.0            100        1.35752,
           1411            0.0        99.8333        1.35724,
           1412            0.0        99.6667        1.35707,
           1413            0.0           99.5        1.35686,
           1414            0.0        99.3333        1.35665,
           1415            0.0        99.1667        1.35645,
           1416            0.0             99        1.35635,
           1417            0.0        98.8333        1.35618,
           1418            0.0        98.6667        1.35599,
           1419            0.0           98.5        1.35579,
           1420            0.0        98.3333        1.35558,
           1421            0.0        98.1667        1.35537,
           1422            0.0             98        1.35516,
           1423            0.0        97.8333        1.35495,
           1424            0.0        97.6667        1.35475,
           1425            0.0           97.5        1.35459,
           1426            0.0        97.3333        1.35442,
           1427            0.0        97.1667        1.35426,
           1428            0.0             97        1.35414,
           1429            0.0        96.8333          1.354,
           1430            0.0        96.6667        1.35389,
           1431            0.0           96.5        1.35379,
           1432            0.0        96.3333        1.35371,
           1433            0.0        96.1667        1.35362,
           1434            0.0             96        1.35352,
           1435            0.0        95.8333         1.3534,
           1436            0.0        95.6667        1.35328,
           1437            0.0           95.5        1.35315,
           1438            0.0        95.3333          1.353,
           1439            0.0        95.1667        1.35285,
           1440            0.0             95        1.35267,
           1441            0.0        94.8333        1.35253,
           1442            0.0        94.6667        1.35242,
           1443            0.0           94.5        1.35231,
           1444            0.0        94.3333        1.35229,
           1445            0.0        94.1667        1.35224,
           1446            0.0             94        1.35219,
           1447            0.0        93.8333        1.35216,
           1448            0.0        93.6667        1.35215,
           1449            0.0           93.5        1.35209,
           1450            0.0        93.3333        1.35203,
           1451            0.0        93.1667        1.35196,
           1452            0.0             93        1.35183,
           1453            0.0        92.8333        1.35171,
           1454            0.0        92.6667        1.35161,
           1455            0.0           92.5        1.35149,
           1456            0.0        92.3333        1.35134,
           1457            0.0        92.1667        1.35121,
           1458            0.0             92        1.35108,
           1459            0.0        91.8333        1.35097,
           1460            0.0        91.6667        1.35086,
           1461            0.0           91.5        1.35077,
           1462            0.0        91.3333         1.3507,
           1463            0.0        91.1667        1.35063,
           1464            0.0             91        1.35061,
           1465            0.0        90.8333        1.35055,
           1466            0.0        90.6667        1.35046,
           1467            0.0           90.5        1.35036,
           1468            0.0        90.3333        1.35027,
           1469            0.0        90.1667         1.3502,
           1470            0.0             90        1.35014,
           1471            0.0        89.8333        1.35006,
           1472            0.0        89.6667        1.35003,
           1473            0.0           89.5           1.35,
           1474            0.0        89.3333        1.34995,
           1475            0.0        89.1667         1.3499,
           1476            0.0             89        1.34986,
           1477            0.0        88.8333        1.34982,
           1478            0.0        88.6667         1.3498,
           1479            0.0           88.5        1.34978,
           1480            0.0        88.3333         1.3498,
           1481            0.0        88.1667        1.34983,
           1482            0.0             88        1.34985,
           1483            0.0        87.8333        1.34986,
           1484            0.0        87.6667        1.34989,
           1485            0.0           87.5         1.3499,
           1486            0.0        87.3333        1.34992,
           1487            0.0        87.1667        1.34994,
           1488            0.0             87        1.34994,
           1489            0.0        86.8333        1.34996,
           1490            0.0        86.6667        1.34996,
           1491            0.0           86.5        1.34995,
           1492            0.0        86.3333        1.34997,
           1493            0.0        86.1667        1.34998,
           1494            0.0             86           1.35,
           1495            0.0        85.8333        1.35001,
           1496            0.0        85.6667        1.35002,
           1497            0.0           85.5        1.35001,
           1498            0.0        85.3333        1.34999,
           1499            0.0        85.1667        1.34996,
           1500            0.0             85        1.34993,
           1501            0.0        84.8333        1.34991,
           1502            0.0        84.6667        1.34986,
           1503            0.0           84.5        1.34981,
           1504            0.0        84.3333        1.34977,
           1505            0.0        84.1667        1.34976,
           1506            0.0             84        1.34978,
           1507            0.0        83.8333        1.34982,
           1508            0.0        83.6667        1.34987,
           1509            0.0           83.5         1.3499,
           1510            0.0        83.3333        1.34991,
           1511            0.0        83.1667         1.3499,
           1512            0.0             83        1.34991,
           1513            0.0        82.8333        1.34991,
           1514            0.0        82.6667        1.34992,
           1515            0.0           82.5        1.34992,
           1516            0.0        82.3333        1.34988,
           1517            0.0        82.1667        1.34984,
           1518            0.0             82        1.34982,
           1519            0.0        81.8333        1.34981,
           1520            0.0        81.6667        1.34979,
           1521            0.0           81.5         1.3498,
           1522            0.0        81.3333        1.34982,
           1523            0.0        81.1667        1.34984,
           1524            0.0             81        1.34994,
           1525            0.0        80.8333        1.35003,
           1526            0.0        80.6667        1.35012,
           1527            0.0           80.5        1.35022,
           1528            0.0        80.3333        1.35036,
           1529            0.0        80.1667         1.3505,
           1530            0.0             80        1.35062,
           1531            0.0        79.8333        1.35074,
           1532            0.0        79.6667        1.35085,
           1533            0.0           79.5        1.35093,
           1534            0.0        79.3333        1.35101,
           1535            0.0        79.1667        1.35108,
           1536            0.0             79        1.35107,
           1537            0.0        78.8333        1.35107,
           1538            0.0        78.6667        1.35105,
           1539            0.0           78.5        1.35101,
           1540            0.0        78.3333        1.35086,
           1541            0.0        78.1667         1.3507,
           1542            0.0             78        1.35052,
           1543            0.0        77.8333        1.35033,
           1544            0.0        77.6667        1.34999,
           1545            0.0           77.5        1.34969,
           1546            0.0        77.3333        1.34939,
           1547            0.0        77.1667         1.3491,
           1548            0.0             77        1.34878,
           1549            0.0        76.8333        1.34849,
           1550            0.0        76.6667        1.34822,
           1551            0.0           76.5        1.34796,
           1552            0.0        76.3333        1.34773,
           1553            0.0        76.1667        1.34748,
           1554            0.0             76        1.34723,
           1555            0.0        75.8333        1.34697,
           1556            0.0        75.6667        1.34673,
           1557            0.0           75.5        1.34652,
           1558            0.0        75.3333        1.34634,
           1559            0.0        75.1667        1.34618,
           1560            0.0             75        1.34607,
           1561            0.0        74.8333        1.34596,
           1562            0.0        74.6667        1.34586,
           1563            0.0           74.5        1.34576,
           1564            0.0        74.3333        1.34571,
           1565            0.0        74.1667        1.34565,
           1566            0.0             74        1.34559,
           1567            0.0        73.8333        1.34553,
           1568            0.0        73.6667        1.34547,
           1569            0.0           73.5        1.34539,
           1570            0.0        73.3333        1.34532,
           1571            0.0        73.1667        1.34527,
           1572            0.0             73        1.34521,
           1573            0.0        72.8333        1.34517,
           1574            0.0        72.6667        1.34512,
           1575            0.0           72.5        1.34508,
           1576            0.0        72.3333        1.34504,
           1577            0.0        72.1667        1.34497,
           1578            0.0             72        1.34488,
           1579            0.0        71.8333        1.34479,
           1580            0.0        71.6667        1.34467,
           1581            0.0           71.5        1.34457,
           1582            0.0        71.3333        1.34448,
           1583            0.0        71.1667         1.3444,
           1584            0.0             71        1.34438,
           1585            0.0        70.8333        1.34436,
           1586            0.0        70.6667        1.34436,
           1587            0.0           70.5        1.34438,
           1588            0.0        70.3333        1.34448,
           1589            0.0        70.1667        1.34458,
           1590            0.0             70        1.34469,
           1591            0.0        69.8333         1.3448,
           1592            0.0        69.6667        1.34495,
           1593            0.0           69.5        1.34508,
           1594            0.0        69.3333        1.34521,
           1595            0.0        69.1667        1.34534,
           1596            0.0             69        1.34543,
           1597            0.0        68.8333        1.34551,
           1598            0.0        68.6667        1.34558,
           1599            0.0           68.5        1.34565,
           1600            0.0        68.3333        1.34568,
           1601            0.0        68.1667        1.34572,
           1602            0.0             68        1.34574,
           1603            0.0        67.8333        1.34577,
           1604            0.0        67.6667        1.34579,
           1605            0.0           67.5        1.34583,
           1606            0.0        67.3333        1.34589,
           1607            0.0        67.1667        1.34594,
           1608            0.0             67        1.34603,
           1609            0.0        66.8333        1.34611,
           1610            0.0        66.6667        1.34618,
           1611            0.0           66.5        1.34625,
           1612            0.0        66.3333        1.34633,
           1613            0.0        66.1667        1.34643,
           1614            0.0             66        1.34653,
           1615            0.0        65.8333        1.34663,
           1616            0.0        65.6667        1.34675,
           1617            0.0           65.5        1.34685,
           1618            0.0        65.3333        1.34694,
           1619            0.0        65.1667        1.34704,
           1620            0.0             65        1.34715,
           1621            0.0        64.8333        1.34727,
           1622            0.0        64.6667        1.34737,
           1623            0.0           64.5        1.34747,
           1624            0.0        64.3333        1.34756,
           1625            0.0        64.1667        1.34766,
           1626            0.0             64        1.34774,
           1627            0.0        63.8333        1.34782,
           1628            0.0        63.6667         1.3479,
           1629            0.0           63.5        1.34797,
           1630            0.0        63.3333        1.34807,
           1631            0.0        63.1667        1.34818,
           1632            0.0             63         1.3483,
           1633            0.0        62.8333        1.34852,
           1634            0.0        62.6667        1.34875,
           1635            0.0           62.5        1.34907,
           1636            0.0        62.3333        1.34948,
           1637            0.0        62.1667        1.35029,
           1638            0.0             62        1.35109,
           1639            0.0        61.8333        1.35196,
           1640            0.0        61.6667        1.35318,
           1641            0.0           61.5        1.35534,
           1642            0.0        61.3333        1.35737,
           1643            0.0        61.1667        1.36026,
           1644            0.0             61        1.36393,
           1645            0.0        60.8333        1.36826,
           1646            0.0        60.6667        1.37248,
           1647            0.0           60.5        1.37744,
           1648            0.0        60.3333        1.38305,
           1649            0.0        60.1667        1.38927,
           1650            0.0             60        1.39556,
           1651            0.0        59.8333        1.40215,
           1652            0.0        59.6667        1.40897,
           1653            0.0           59.5         1.4167,
           1654            0.0        59.3333         1.4244,
           1655            0.0        59.1667        1.43236,
           1656            0.0             59        1.44056,
           1657            0.0        58.8333        1.44963,
           1658            0.0        58.6667         1.4587,
           1659            0.0           58.5        1.46816,
           1660            0.0        58.3333        1.47808,
           1661            0.0        58.1667        1.48843,
           1662            0.0             58        1.49871,
           1663            0.0        57.8333        1.50915,
           1664            0.0        57.6667        1.51973,
           1665            0.0           57.5        1.53097,
           1666            0.0        57.3333        1.54205,
           1667            0.0        57.1667        1.55321,
           1668            0.0             57        1.56446,
           1669            0.0        56.8333        1.57622,
           1670            0.0        56.6667        1.58773,
           1671            0.0           56.5        1.59951,
           1672            0.0        56.3333        1.61175,
           1673            0.0        56.1667        1.62494,
           1674            0.0             56        1.63982,
           1675            0.0        55.8333        1.65711,
           1676            0.0        55.6667        1.67584,
           1677            0.0           55.5        1.70429,
           1678            0.0        55.3333        1.74035,
           1679            0.0        55.1667         1.7884,
           1680            0.0             55        1.84659,
           1681            0.0        54.8333         1.9397,
           1682            0.0        54.6667        2.05846,
           1683            0.0           54.5        2.21255,
           1684            0.0        54.3333        2.39357,
           1685            0.0        54.1667        2.64551,
           1686            0.0             54        2.93116,
           1687            0.0        53.8333        3.24735,
           1688            0.0        53.6667        3.57809,
           1689            0.0           53.5        3.90736,
           1690            0.0        53.3333        4.20662,
           1691            0.0        53.1667        4.45494,
           1692            0.0             53        4.66119,
           1693            0.0        52.8333        4.74624,
           1694            0.0        52.6667        4.76745,
           1695            0.0           52.5        4.72092,
           1696            0.0        52.3333        4.63242,
           1697            0.0        52.1667        4.47035,
           1698            0.0             52        4.28791,
           1699            0.0        51.8333        4.09175,
           1700            0.0        51.6667        3.89108,
           1701            0.0           51.5        3.69157,
           1702            0.0        51.3333        3.50008,
           1703            0.0        51.1667        3.31906,
           1704            0.0             51        3.14579,
           1705            0.0        50.8333        2.99178,
           1706            0.0        50.6667         2.8467,
           1707            0.0           50.5        2.71162,
           1708            0.0        50.3333        2.58317,
           1709            0.0        50.1667        2.46953,
           1710            0.0             50        2.36311,
           1711            0.0        49.8333        2.26456,
           1712            0.0        49.6667        2.17133,
           1713            0.0           49.5        2.09026,
           1714            0.0        49.3333        2.01498,
           1715            0.0        49.1667         1.9461,
           1716            0.0             49        1.88145,
           1717            0.0        48.8333        1.82617,
           1718            0.0        48.6667        1.77512,
           1719            0.0           48.5        1.72917,
           1720            0.0        48.3333        1.68697,
           1721            0.0        48.1667        1.64951,
           1722            0.0             48        1.61602,
           1723            0.0        47.8333        1.58537,
           1724            0.0        47.6667        1.55668,
           1725            0.0           47.5        1.53227,
           1726            0.0        47.3333        1.50938,
           1727            0.0        47.1667        1.48853,
           1728            0.0             47        1.46903,
           1729            0.0        46.8333        1.45255,
           1730            0.0        46.6667         1.4371,
           1731            0.0           46.5        1.42299,
           1732            0.0        46.3333        1.40976,
           1733            0.0        46.1667        1.39906,
           1734            0.0             46        1.38919,
           1735            0.0        45.8333        1.37981,
           1736            0.0        45.6667        1.37093,
           1737            0.0           45.5        1.36323,
           1738            0.0        45.3333        1.35585,
           1739            0.0        45.1667         1.3491,
           1740            0.0             45        1.34286,
           1741            0.0        44.8333        1.33744,
           1742            0.0        44.6667         1.3332,
           1743            0.0           44.5        1.33086,
           1744            0.0        44.3333        1.32845,
           1745            0.0        44.1667        1.32371,
           1746            0.0             44        1.31986,
           1747            0.0        43.8333         1.3163,
           1748            0.0        43.6667        1.31282,
           1749            0.0           43.5        1.30953,
           1750            0.0        43.3333        1.30625,
           1751            0.0        43.1667        1.30341,
           1752            0.0             43        1.30092,
           1753            0.0        42.8333        1.29876,
           1754            0.0        42.6667        1.29643,
           1755            0.0           42.5        1.29411,
           1756            0.0        42.3333        1.29181,
           1757            0.0        42.1667        1.28966,
           1758            0.0             42        1.28787,
           1759            0.0        41.8333        1.28726,
           1760            0.0        41.6667        1.28749,
           1761            0.0           41.5        1.30125,
           1762            0.0        41.3333        1.30628,
           1763            0.0        41.1667         1.3057,
           1764            0.0             41        1.30352,
           1765            0.0        40.8333        1.30074,
           1766            0.0        40.6667        1.29861,
           1767            0.0           40.5        1.29663,
           1768            0.0        40.3333        1.29463,
           1769            0.0        40.1667          1.293,
           1770            0.0             40        1.29129,
           1771            0.0        39.8333        1.28962,
           1772            0.0        39.6667          1.288,
           1773            0.0           39.5        1.28663,
           1774            0.0        39.3333        1.28527,
           1775            0.0        39.1667          1.284,
           1776            0.0             39        1.28279,
           1777            0.0        38.8333        1.28201,
           1778            0.0        38.6667        1.28119,
           1779            0.0           38.5         1.2804,
           1780            0.0        38.3333        1.27962,
           1781            0.0        38.1667        1.27919,
           1782            0.0             38        1.27859,
           1783            0.0        37.8333        1.27796,
           1784            0.0        37.6667        1.27734,
           1785            0.0           37.5        1.27666,
           1786            0.0        37.3333        1.27598,
           1787            0.0        37.1667        1.27528,
           1788            0.0             37        1.27455,
           1789            0.0        36.8333        1.27383,
           1790            0.0        36.6667        1.27324,
           1791            0.0           36.5        1.27259,
           1792            0.0        36.3333        1.27192,
           1793            0.0        36.1667        1.27191,
           1794            0.0             36         1.2726,
           1795            0.0        35.8333        1.27306,
           1796            0.0        35.6667        1.27277,
           1797            0.0           35.5        1.27158,
           1798            0.0        35.3333         1.2708,
           1799            0.0        35.1667        1.26959,
           1800            0.0             35        1.26827,
           1801            0.0        34.8333         1.2666,
           1802            0.0        34.6667        1.26518,
           1803            0.0           34.5        1.26462,
           1804            0.0        34.3333        1.26503,
           1805            0.0        34.1667         1.2653,
           1806            0.0             34        1.26517,
           1807            0.0        33.8333        1.26506,
           1808            0.0        33.6667        1.26505,
           1809            0.0           33.5        1.26472,
           1810            0.0        33.3333        1.26403,
           1811            0.0        33.1667        1.26434,
           1812            0.0             33        1.26643,
           1813            0.0        32.8333        1.26725,
           1814            0.0        32.6667        1.26693,
           1815            0.0           32.5        1.26568,
           1816            0.0        32.3333        1.26456,
           1817            0.0        32.1667        1.26357,
           1818            0.0             32        1.26263,
           1819            0.0        31.8333        1.26173,
           1820            0.0        31.6667         1.2609,
           1821            0.0           31.5        1.26028,
           1822            0.0        31.3333         1.2596,
           1823            0.0        31.1667        1.25891,
           1824            0.0             31        1.25823,
           1825            0.0        30.8333        1.25772,
           1826            0.0        30.6667        1.25716,
           1827            0.0           30.5        1.25664,
           1828            0.0        30.3333        1.25615,
           1829            0.0        30.1667        1.25571,
           1830            0.0             30        1.25522,
           1831            0.0        29.8333         1.2547,
           1832            0.0        29.6667        1.25417,
           1833            0.0           29.5        1.25366,
           1834            0.0        29.3333        1.25315,
           1835            0.0        29.1667        1.25262,
           1836            0.0             29        1.25209,
           1837            0.0        28.8333        1.25154,
           1838            0.0        28.6667        1.25099,
           1839            0.0           28.5        1.25047,
           1840            0.0        28.3333        1.24997,
           1841            0.0        28.1667        1.24979,
           1842            0.0             28        1.24966,
           1843            0.0        27.8333        1.24958,
           1844            0.0        27.6667        1.24958,
           1845            0.0           27.5        1.25018,
           1846            0.0        27.3333        1.25053,
           1847            0.0        27.1667        1.25079,
           1848            0.0             27        1.25098,
           1849            0.0        26.8333        1.25137,
           1850            0.0        26.6667        1.25148,
           1851            0.0           26.5        1.25103,
           1852            0.0        26.3333        1.25037,
           1853            0.0        26.1667         1.2305,
           1854            0.0             26        1.12084,
           1855            0.0        25.8333         0.8684,
           1856            0.0        25.6667       0.548332,
           1857            0.0           25.5       0.323748,
           1858            0.0        25.3333       0.191757,
           1859            0.0        25.1667       0.127232,
           1860            0.0             25      0.0887316,
           1861            0.0        25.0833      0.0622534,
           1862            0.0        25.1667      0.0342961,
           1863            0.0          25.25     0.00441072,
           1864            0.0        25.3333     -0.0268133,
           1865            0.0        25.4167     -0.0593505,
           1866            0.0           25.5     -0.0912845,
           1867            0.0        25.5833      -0.123131,
