Long Name,T,d,T,d,T,d
Comments,RSOXS 2 layer,RSOXS 2 layer,RSOXS 3 layer,RSOXS 3 layer,XRD 1 layer,XRD 1 layer
58,79.4,107.914872897135,--,--,68.5179,53.9653466218293
59,80.4,107.854402068555,--,--,66.5613,54.0024521459354
60,81.3,107.786244610137,--,--,64.57,53.9885315963188
61,82.3,107.724560914777,--,--,64.57,52.5701581926003
62,83.2,107.656201599328,83.2,143.059774753634,62.6255,53.9931709820365
63,84.1,107.576852180528,84.1,143.353531991321,62.6255,52.5877578438198
64,85.1,107.504612823803,85.1,143.451719342,61.6186,54.007093924528
65,86.1,107.445323388117,86.1,143.714211051683,61.6186,52.4911053231377
66,87,107.369229782568,87,143.911711112679,60.6284,54.044256899876
67,88,107.311377026559,88,143.911711112679,60.6284,52.4691883689318
68,88.9,107.231896507038,88.9,144.341495685265,58.6468,54.6316433977879
69,89.9,107.185010357891,89.9,144.142815030502,58.6468,52.3948074314509
70,90.9,107.148453396651,90.9,144.773855004138,56.6141,54.6173966201285
71,91.8,107.075414232781,91.8,145.309558445411,56.6141,52.3686056607733
72,92.7,107.038931979209,92.7,145.61263747809,54.6279,54.607902895703
73,93.7,107.002474577309,93.7,145.91698344588,54.6279,52.3424300831355
74,94.7,106.947835015823,94.7,146.632095850165,52.6595,54.5368050271642
75,95.6,106.966042001695,95.6,147.043887366712,52.6595,52.3206370820184
76,96.6,107.020700173388,96.6,147.457998291002,50.6727,54.5036893405585
77,97.5,107.020700173388,97.5,147.874448274408,50.6727,52.2901573500298
78,98.5,106.984255187802,98.5,148.223291039858,48.6928,54.4564509202599
79,99.4,106.929634227018,99.4,148.43338783793,48.6928,52.272756299331
80,100.4,106.838723128372,100.4,148.468461889877,46.6699,54.4281471515903
81,101.3,106.82055945562,101.3,148.468461889877,46.6699,52.2336462480637
82,102.3,106.766105474589,102.3,148.363289425728,44.7041,54.3763332512297
83,103.3,106.729833653467,103.3,148.328265042011,44.7041,52.1989308563561
84,104.2,106.802401957838,104.2,148.293257190927,42.707,54.3998727894336
85,--,--,105.2,148.1883327165,42.707,52.1685927198571
86,--,--,106.1,148.153390879028,40.6798,54.28706849127
87,--,--,107.1,148.153390879028,40.6798,52.142616657092
88,--,--,108,148.153390879028,38.6615,54.2542553076555
89,--,--,109,148.153390879028,38.6615,52.1123439261805
90,--,--,110,148.013788154996,36.7426,54.2074480819566
91,--,--,--,--,36.7426,52.0864238346977
92,--,--,--,--,34.7178,54.1653905791344
93,--,--,--,--,34.7178,52.060529515118
94,--,--,,,32.6723,54.1140755075324
95,--,--,,,32.6723,52.0303519971811
96,--,--,,,30.2784,54.1607215514144
97,--,--,,,30.2784,52.0045133850322
98,--,--,,,28.7307,54.0768164831706
99,--,--,,,28.7307,51.9830008040009
