applied field (V/μm),current (nC) T100
Sm2,Sm2
100.0,100.0
-18.703071672354948,6.938893903907228e-16
-18.481228668941977,0.158328701865821
-18.19112627986348,0.20665740373164018
-17.901023890784984,0.44498610559746066
-17.542662116040955,0.5533148074632809
-17.235494880546074,0.6216435093290993
-16.885665529010236,0.85947221119492
-16.561433447098974,0.8613009130607384
-16.341296928327644,0.9796296149265596
-16.092150170648463,1.2119583167923789
-15.807167235494878,1.1587870186581986
-15.452218430034128,1.4376157205240194
-15.143344709897612,1.443444422389839
-14.866894197952218,1.5852731242556581
-14.551194539249147,1.774601826121479
-14.238907849829351,1.7604305279872974
-13.96075085324232,1.9927592298531176
-13.665529010238904,1.9475879317189375
-13.375426621160408,2.015416633584757
-13.116040955631398,2.306245335450578
-12.843003412969281,2.3270740373163963
-12.561433447098977,2.5669027391822166
-12.238907849829351,2.611731441048036
-11.88566552901024,2.800560142913856
-11.619453924914676,2.9703888447796762
-11.39419795221843,3.0109175466454947
-11.12286689419795,3.262486248511316
-10.786689419795223,3.4164249503771353
-10.506825938566552,3.5862036522429546
-10.192832764505118,3.794532354108775
-9.902730375426621,3.846861055974595
-9.617747440273037,4.032189757840413
-9.315699658703071,4.147018459706234
-9.044368600682594,4.254347161572053
-8.813993174061432,4.392175863437874
-8.436860068259385,4.550504565303694
-8.148464163822526,4.961833267169512
-7.843003412969283,5.037661969035333
-7.482935153583616,5.316990670901152
-7.184300341296928,5.689319372766973
-6.901023890784982,5.968148074632793
-6.593856655290102,6.54797677649861
-6.360068259385664,7.289805478364431
-6.066552901023891,8.558134180230251
-5.75767918088737,10.581462882096071
-5.426621160409556,15.234791583961893
-5.059726962457337,25.47812028582771
-4.723549488054608,44.891448987693536
-4.4573378839590445,66.84477768955936
-4.203071672354949,76.73310639142517
-3.928327645051194,74.32143509329099
-3.5392491467576788,68.70418023025012
-3.245733788395904,64.05367606192934
-2.95221843003413,60.28083763398173
-2.6433447098976113,57.76916633584757
-2.387372013651877,55.61866216752681
-2.145051194539249,53.7958237395792
-1.849829351535836,52.095319571258436
-1.4532423208191125,50.92248114331084
-1.1013651877133104,50.26080984517666
-0.8213310580204777,49.66030567685589
-0.5679180887372013,49.077467248908306
-0.2319112627986348,48.28196308058754
0.16266211604095562,47.57912465263994
0.410580204778157,46.82745335450576
0.665358361774744,45.926949186185
0.9692832764505118,45.32411075823739
1.3452218430034129,45.543606589916635
1.6399317406143343,46.47076816196904
1.8549488054607506,48.43409686383486
2.168941979522184,51.19359269551409
2.4709897610921505,54.470754267566505
2.762798634812287,58.07025009924574
3.0529010238907848,60.897411671298144
3.3412969283276452,62.13574037316397
3.6655290102389078,61.43523620484319
3.974402730375427,59.16239777689561
4.291808873720137,55.91189360857483
4.651877133105803,51.93905518062723
4.938566552901023,47.52738388249305
5.232081911262799,42.69687971417229
5.554607508532422,37.3440412862247
5.8890784982935145,31.958537117903937
6.146757679180887,26.86069868995633
6.392491467576793,21.09902739182215
6.677474402730375,14.72852322350139
7.005119453924915,8.455684795553793
7.273037542662115,3.305180627233029
7.563139931740613,0.4383421992854297
7.849829351535836,-1.0248290988487483
8.160409556313994,-1.3633332671695122
8.496587030716723,-1.224671695117109
8.807167235494882,-1.3561758634378707
9.073378839590443,-1.2215142913854706
9.366894197952218,-1.2626855895196512
9.684300341296927,-1.2811897578404123
10.018771331058021,-1.033028185788009
10.312286689419793,-1.203532354108773
10.609215017064846,-0.9673707820563732
10.909556313993173,-0.8795420801905514
11.2098976109215,-0.9880462485113144
11.513651877133107,-0.7083846764589119
11.81569965870307,-0.6723888447796735
12.122866894197953,-0.7212272727272735
12.35665529010239,-0.5748985708614534
12.646757679180887,-0.6129027391822147
12.933447098976107,-0.48774116712981197
13.208191126279864,-0.5782453354505759
13.547781569965869,-0.49108376339817295
13.824232081911262,-0.43775506153235294
14.136518771331055,-0.49825922985311455
14.39249146757679,-0.40493052798729545
14.694539249146759,-0.5166018261214788
15.042662116040953,-0.44944025406907506
15.351535836177474,-0.4111115522032534
15.634812286689419,-0.297782850337433
15.943686006825939,-0.28828701865819817
16.244027303754265,-0.30995831679237895
16.49658703071672,-0.13279674473997555
16.802047781569968,-0.3544680428741537
17.098976109215013,-0.16113934100833588
17.372013651877133,-0.17164350932909744
17.64505119453925,-0.15831480746328064
17.986348122866893,-0.12115323541087854
18.27645051194539,-0.18282453354505626
18.600682593856654,-0.15449583167923553
18.754266211604097,0.0
