applied field (V/μm),current (nC) T107
Sm2,Sm2
106.9,106.9
18.63481228668942,-0.1708800000000038
18.31058020477816,-0.38784800000000313
18.02047781569966,-0.6687280000000088
17.66211604095563,-1.009608000000005
17.389078498293514,-1.2444000000000053
17.116040955631398,-1.4302800000000018
16.812286689419796,-1.677248000000005
16.5,-1.9681280000000065
16.261092150170647,-2.199008000000008
15.936860068259385,-2.4738000000000038
15.634812286689419,-2.5096800000000057
15.344709897610924,-2.7266480000000026
15.02901023890785,-2.91502800000001
14.677474402730375,-3.010408000000006
14.375426621160408,-3.236700000000008
14.109215017064844,-3.406080000000004
13.810580204778157,-3.5265480000000067
13.523890784982935,-3.777928000000009
13.180887372013652,-3.869308000000005
12.909556313993175,-4.181600000000007
12.616040955631398,-4.362980000000002
12.332764505119455,-4.041948000000005
12.087030716723548,-4.211328000000006
11.774744027303754,-4.505708000000003
11.474402730375427,-4.740000000000005
11.165529010238906,-4.870380000000007
10.872013651877134,-5.232848000000003
10.568259385665527,-5.300728000000011
10.26962457337884,-5.735808000000008
9.959044368600681,-6.008900000000008
9.626279863481228,-6.197780000000004
9.303754266211605,-6.607248000000007
9.006825938566552,-6.98412800000001
8.745733788395905,-7.141508000000004
8.418088737201364,-7.699800000000006
8.080204778156997,-8.029680000000003
7.786689419795221,-8.560148000000005
7.482935153583616,-8.995028000000007
7.194539249146758,-9.455408000000006
6.9163822525597265,-10.275200000000005
6.580204778156997,-10.941080000000007
6.300341296928327,-11.933048000000003
6.081911262798633,-13.158928000000003
5.773037542662116,-14.459808000000008
5.445392491467577,-16.27960000000001
5.129692832764505,-18.370480000000004
4.837883959044369,-21.292448000000007
4.517064846416382,-25.91332800000001
4.158703071672354,-33.23420800000001
3.8430034129692823,-43.144000000000005
3.520477815699659,-50.23988000000001
3.203071672354948,-52.361848
2.9300341296928325,-52.422728000000006
2.639931740614334,-52.23360800000002
2.3447098976109215,-52.50840000000001
2.022184300341297,-53.219280000000005
1.7406143344709895,-53.46624800000002
1.517235494880546,-52.327128000000016
1.1878839590443686,-49.62800800000001
0.8013651877133104,-46.27280000000001
0.547952218430034,-43.008680000000005
0.30136518771331056,-40.440648
-0.033327645051194545,-39.20652800000001
-0.42269624573378833,-38.75240800000001
-0.7000000000000001,-39.077200000000005
-0.9665529010238907,-39.93808000000001
-1.2653583617747441,-41.135048000000005
-1.66518771331058,-42.805928000000016
-2.0255972696245736,-44.59180800000001
-2.2952218430034126,-46.46660000000001
-2.510238907849829,-47.917480000000005
-2.8054607508532423,-48.849448
-3.1228668941979523,-48.72032800000001
-3.4078498293515356,-47.171208000000014
-3.7713310580204777,-44.056000000000004
-4.102389078498293,-39.526880000000006
-4.372013651877133,-33.588848000000006
-4.592150170648464,-26.86472800000001
-4.8993174061433455,-19.79060800000001
-5.283276450511945,-13.21540000000001
-5.610921501706485,-9.016280000000004
-5.943686006825938,-7.028248000000005
-6.238907849829352,-5.749128000000008
-6.494880546075085,-4.980008000000004
-6.774744027303754,-4.189800000000004
-7.085324232081911,-3.620680000000001
-7.3668941979522184,-2.957648000000004
-7.711604095563139,-2.568528000000006
-8.061433447098976,-2.1294080000000077
-8.307167235494882,-1.813700000000003
-8.716723549488055,-1.4210800000000052
-8.96075085324232,-1.107548000000002
-9.230375426621158,-0.8709280000000097
-9.51877133105802,-0.7983080000000059
-9.824232081911264,-0.6026000000000066
-10.098976109215016,-0.4244800000000035
-10.418088737201366,-0.24044800000000563
-10.696245733788395,-0.24182800000000784
-11.023890784982934,-0.06720800000000403
-11.320819112627984,0.05799999999999486
-11.573378839590442,0.20061999999999858
-11.793515358361773,0.21315199999999565
-12.146757679180885,0.37177199999999455
-12.486348122866893,-0.26260800000000795
-12.774744027303756,0.5345999999999962
-13.049488054607508,0.15171999999999478
-13.313993174061434,0.2547519999999977
-13.58703071672355,0.40887199999999
-13.887372013651875,0.27299199999999413
-14.160409556313994,0.423199999999993
-14.474402730375427,0.40731999999999646
-14.795221843003413,0.4003519999999941
-15.073378839590443,0.5194719999999924
-15.377133105802049,0.4235919999999956
-15.725255972696246,0.3887999999999947
-16.039249146757676,0.562919999999998
-16.293515358361773,0.42595199999999617
-16.505119453924912,0.5250719999999944
-16.820819112627987,0.42919199999999774
-17.167235494880547,0.39439999999999614
-17.49146757679181,0.5035199999999949
-17.84982935153584,0.4165519999999978
-18.156996587030715,0.3906719999999961
-18.447098976109217,0.5747919999999934
-18.703071672354948,-6.938893903907228e-15
