,cyclePoint,Contrastmean,Contrastste,NormContrast,Thetamean,Thetaste,Volt,E
0,0,7.7665999999999995,0.3443383958330924,9.9866,18.0,0.4784894289759902,28.82352941176471,6.405228758169936
1,1,7.506639999999999,0.6352983169783748,9.72664,17.461836356419266,0.47529398993657535,30.0,6.666666666666667
2,2,7.039959999999996,0.5128393735967541,9.259959999999996,16.512916623488852,0.26106464985153843,28.823529411764707,6.405228758169935
3,3,6.266639999999998,0.5341112158426266,8.486639999999998,14.983512999715682,0.1961197351645172,27.647058823529413,6.143790849673203
4,4,4.573360000000003,0.40253884188016215,6.793360000000003,11.784071586166181,0.13516863501588428,26.470588235294116,5.88235294117647
5,5,1.7733200000000011,0.4005209427178004,3.9933200000000015,6.796884489031029,0.054495517876666635,25.294117647058822,5.620915032679738
6,6,-1.373320000000001,0.33800336125876357,0.8466799999999992,1.4282126780577455,0.531513079698177,24.11764705882353,5.359477124183006
7,7,-2.293360000000001,0.18012865926578395,-0.07336000000000098,-0.12369562491737972,0.7008386016576903,22.941176470588232,5.098039215686274
8,8,-2.373359999999997,0.15047574998428595,-0.1533599999999966,-0.2585899631890617,0.39909471844048167,21.764705882352942,4.836601307189543
9,9,-2.1599600000000008,0.11331329283598342,0.06003999999999943,0.10123606462401058,0.12156665681059284,20.58823529411765,4.575163398692811
10,10,-2.640039999999999,0.1080140638991053,-0.42003999999999886,-0.7083184703627454,0.08784875025034322,19.411764705882355,4.313725490196079
11,11,-2.1733599999999966,0.14787515868311205,0.04664000000000357,0.07864167483376514,0.13227955014491977,18.23529411764706,4.052287581699347
12,12,-2.5333600000000045,0.17448856664231294,-0.3133600000000043,-0.5283988338217023,0.11291135134314595,17.058823529411764,3.7908496732026142
13,13,-2.559959999999998,0.18718212818298416,-0.3399599999999978,-0.5732584581048021,0.10382445516947998,15.882352941176471,3.5294117647058822
14,14,-2.4800400000000025,0.14350764865407778,-0.26004000000000227,-0.43848100191779815,0.142098453748991,14.705882352941174,3.26797385620915
15,15,-2.3999599999999957,0.16264112948451867,-0.17995999999999546,-0.3034434534090546,0.26816777931362384,13.52941176470588,3.006535947712418
16,16,-2.586760000000001,0.11780151951481782,-0.36676000000000064,-0.6184567948515273,0.09692407325242756,12.35294117647059,2.7450980392156867
17,17,-2.333319999999998,0.18043384198462697,-0.11331999999999764,-0.19107481719035296,1.7356023461164143,11.176470588235293,2.4836601307189543
18,18,-2.333319999999998,0.12928545591485185,-0.11331999999999764,-0.19107481719035296,1.7356023461164143,9.999999999999998,2.222222222222222
19,19,-2.8666799999999966,0.13788866765135804,-0.6466799999999964,-1.0906565535226862,0.08801093473056823,8.823529411764708,1.9607843137254908
20,20,-2.639999999999998,0.13666581137943754,-0.4199999999999977,-0.708251004138333,0.08785375116979802,7.647058823529411,1.6993464052287581
21,21,-2.7599999999999993,0.1137916165629085,-0.5399999999999991,-0.9106690387835881,0.08145744297150842,6.470588235294118,1.4379084967320261
22,22,-2.173319999999998,0.1909763752114091,0.04668000000000205,0.07870912069364856,0.13224455497555684,5.294117647058822,1.1764705882352937
23,23,-2.5733600000000023,0.15912857100819802,-0.3533600000000021,-0.5958574410504063,0.10013324285450217,4.117647058823532,0.9150326797385626
24,24,-2.5066399999999986,0.15531398198488114,-0.28663999999999845,-0.4833381396697731,0.12519668681553844,2.9411764705882346,0.65359477124183
25,25,-2.3333600000000048,0.15626908203480303,-0.11336000000000457,-0.19114226429665296,1.7296830387065287,1.7647058823529416,0.39215686274509814
26,26,-2.2832999999999997,0.187661799787642,-0.06329999999999947,-0.10673291769487973,0.5156330735133952,0.588235294117645,0.13071895424836555
27,27,-2.5,0.17586628179976424,-0.2799999999999998,-0.4721406121130517,0.12889938207332707,-0.5882352941176516,-0.13071895424836702
28,28,-2.5999499999999953,0.2084003784479973,-0.3799499999999951,-0.6407023555399504,0.09417437792384538,-1.7647058823529416,-0.39215686274509814
29,29,-2.650049999999999,0.15759360965596966,-0.4300499999999987,-0.7252020175255987,0.08666966138851852,-2.941176470588238,-0.6535947712418307
30,30,-2.6833499999999986,0.15094747973295716,-0.4633499999999984,-0.7813699094839978,0.08369528489452549,-4.117647058823528,-0.9150326797385618
31,31,-2.5333000000000028,0.16646651262758186,-0.3133000000000026,-0.5282976482053301,0.11293496432020089,-5.294117647058818,-1.1764705882352928
32,32,-2.6333499999999987,0.08487199222156515,-0.41334999999999855,-0.6970347986641977,0.08871844685114269,-6.470588235294114,-1.4379084967320255
33,33,-3.0666500000000014,0.2292701821132657,-0.8466500000000012,-1.4281620309290617,0.16054085151798936,-7.647058823529411,-1.6993464052287581
34,34,-2.7167000000000003,0.14791982195382697,-0.49670000000000014,-0.8376251490445207,0.08199394006125649,-8.823529411764708,-1.9607843137254908
35,35,-2.6667,0.2055330341453655,-0.4466999999999999,-0.7532856014611489,0.0850098128554977,-10.000000000000004,-2.222222222222223
36,36,-2.433250000000001,0.19084145762970753,-0.21325000000000083,-0.35957882608776054,0.1930862654013919,-11.176470588235293,-2.4836601307189543
37,37,-2.616700000000003,0.15061773361142028,-0.3967000000000027,-0.6689525837544407,0.09119142792508321,-12.352941176470583,-2.7450980392156854
38,38,-2.4833500000000015,0.2439788719530663,-0.2633500000000013,-0.44406278794376347,0.13966449908318387,-13.529411764705888,-3.0065359477124196
39,39,-2.5667,0.16365194441874817,-0.3466999999999998,-0.5846253637512077,0.10190306230712995,-14.705882352941178,-3.2679738562091507
40,40,-2.3,0.12979140583173362,-0.07999999999999963,-0.13489170953517432,0.9173688266547523,-15.882352941176467,-3.529411764705882
41,41,-2.3834000000000004,0.19843435073324875,-0.1634000000000002,-0.27551954600455675,0.3362979589909389,-17.058823529411764,-3.7908496732026142
42,42,-2.15,0.1600286957050956,0.07000000000000028,0.11803014362197234,0.11473931688411125,-18.23529411764706,-4.052287581699347
43,43,-2.266700000000003,0.10847036072168555,-0.04670000000000263,-0.0787428436237561,0.35847293065446856,-19.41176470588236,-4.31372549019608
44,44,-2.3333500000000016,0.17849537314718747,-0.1133500000000014,-0.1911254025199762,1.7311590552757383,-20.58823529411765,-4.575163398692811
45,45,-2.5666499999999983,0.24015591994663935,-0.3466499999999981,-0.5845410391886443,0.10191682111043324,-21.76470588235294,-4.836601307189542
46,46,-2.2832999999999997,0.13542960835594423,-0.06329999999999947,-0.10673291769487973,0.5156330735133952,-22.94117647058824,-5.098039215686275
47,47,-1.7333500000000015,0.22450570351009966,0.4866499999999987,0.8206723403614267,0.05605886184226534,-24.11764705882353,-5.359477124183006
48,48,-1.9,0.5638457846483742,0.3200000000000003,0.5395967497208933,0.05644789439119455,-25.294117647058826,-5.620915032679739
49,49,-5.516750000000002,0.7625921450281039,-3.2967500000000016,-5.59426919017961,0.16313249935680982,-26.470588235294116,-5.88235294117647
50,50,-7.916699999999997,0.5223041280147073,-5.696699999999996,-9.795175533076502,0.2657976054162081,-27.647058823529406,-6.143790849673201
51,51,-8.95,0.4997969955368731,-6.729999999999999,-11.667618149415832,0.28270214869783233,-28.82352941176471,-6.405228758169936
52,52,-9.299949999999995,0.613585217870444,-7.079949999999995,-12.313443090519081,1.376887215818817,-30.0,-6.666666666666667
53,53,-9.233300000000003,0.648455649121291,-7.013300000000003,-12.189938548188902,3.995774764144436,-28.8235294117647,-6.405228758169933
54,54,-8.383299999999997,0.602799459975504,-6.163299999999996,-10.634767251848494,0.8940738585837673,-27.64705882352941,-6.143790849673202
55,55,-6.799949999999998,0.5787434628610487,-4.579949999999998,-7.819159670907447,6.573692949413882,-26.47058823529412,-5.882352941176471
56,56,-4.3333499999999985,0.5256662817661787,-2.1133499999999983,-3.5726576324563526,0.2137225783961156,-25.29411764705882,-5.620915032679737
57,57,-2.0834000000000032,0.48645999553606095,0.13659999999999695,0.23032922440449838,0.08461528807706335,-24.11764705882353,-5.359477124183006
58,58,-2.0,0.2306850688358402,0.2200000000000002,0.37096119730674115,0.06625447096487232,-22.941176470588236,-5.098039215686274
59,59,-2.1834000000000002,0.1937408749344608,0.036599999999999966,0.061712776802646155,0.14173116193753368,-21.764705882352942,-4.836601307189543
60,60,-2.2166499999999987,0.2381882379941336,0.0033500000000015184,0.00564856950093007,0.1864427185573615,-20.58823529411765,-4.575163398692811
61,61,-2.3666500000000013,0.21531100829994476,-0.14665000000000106,-0.24727552179915843,0.4568067915685072,-19.41176470588236,-4.31372549019608
62,62,-2.3167,0.11176285243847879,-0.09669999999999979,-0.16305063170217368,4.009287649805762,-18.235294117647058,-4.052287581699346
63,63,-2.266700000000003,0.1972468402084612,-0.04670000000000263,-0.0787428436237561,0.35847293065446856,-17.058823529411768,-3.790849673202615
64,64,-2.5,0.16225290330107994,-0.2799999999999998,-0.4721406121130517,0.12889938207332707,-15.882352941176467,-3.529411764705882
65,65,-2.1000499999999986,0.14862474544802678,0.11995000000000156,0.2022541898024721,0.09029232915713697,-14.705882352941178,-3.2679738562091507
66,66,-2.4666499999999987,0.20856353358271731,-0.24664999999999848,-0.41590107447417995,0.15316475956255074,-13.529411764705877,-3.006535947712417
67,67,-2.4667000000000003,0.13478115621051948,-0.24670000000000014,-0.4159853903681027,0.15311938359194918,-12.352941176470587,-2.745098039215686
68,68,-2.4666499999999987,0.21026229382573836,-0.24664999999999848,-0.41590107447417995,0.15316475956255074,-11.176470588235295,-2.4836601307189543
69,69,-2.2000499999999987,0.208004218860237,0.019950000000001467,0.0336385034950702,0.1609811241068557,-9.99999999999999,-2.2222222222222197
70,70,-2.283299999999997,0.2121915162850139,-0.0632999999999968,-0.10673291769487522,0.5156330735133563,-8.823529411764698,-1.9607843137254883
71,71,-2.433349999999996,0.23017637001581503,-0.2133499999999957,-0.35974745339081093,0.1929295901896009,-7.647058823529408,-1.6993464052287572
72,72,-2.249950000000001,0.18680831253128713,-0.02995000000000081,-0.050499923305075675,0.27389372513796095,-6.470588235294116,-1.4379084967320257
73,73,-2.4333500000000017,0.17105526615647096,-0.21335000000000148,-0.3597474533908207,0.19292959018959194,-5.294117647058825,-1.1764705882352944
74,74,-2.3666500000000013,0.2106253575252488,-0.14665000000000106,-0.24727552179915843,0.4568067915685072,-4.117647058823534,-0.9150326797385632
75,75,-2.3998999999999966,0.18572704671002985,-0.1798999999999964,-0.3033422793271142,0.26836198700013214,-2.941176470588227,-0.6535947712418282
76,76,-2.699950000000001,0.20971624727047963,-0.479950000000001,-0.8093706279740939,0.08270023167073572,-1.7647058823529362,-0.3921568627450969
77,77,-2.5665999999999998,0.25263185443905295,-0.3465999999999996,-0.5844567146311517,0.10193058712483953,-0.5882352941176454,-0.13071895424836566
78,78,-2.55,0.22211781705387298,-0.3299999999999996,-0.5564612370362033,0.10692651326696676,0.5882352941176454,0.13071895424836566
79,79,-2.4500499999999987,0.17700452617342766,-0.23004999999999853,-0.38790839239754454,0.17029778228500198,1.7647058823529362,0.3921568627450969
80,80,-2.1166499999999986,0.2048781420651428,0.10335000000000161,0.1742636580147185,0.09698517393284502,2.941176470588244,0.653594771241832
81,81,-2.716700000000003,0.16565287937962098,-0.4967000000000028,-0.8376251490445252,0.08199394006125639,4.117647058823534,0.9150326797385632
82,82,-2.7166499999999987,0.2281800482161733,-0.4966499999999985,-0.8375408059914449,0.08199562021968283,5.294117647058825,1.1764705882352944
83,83,-2.1,0.1883226167673738,0.1200000000000001,0.20233849891140374,0.09027384246935606,6.470588235294116,1.4379084967320257
84,84,-2.4666999999999972,0.17467636410209006,-0.24669999999999703,-0.4159853903680974,0.1531193835919515,7.647058823529425,1.699346405228761
85,85,-2.5834000000000032,0.18429811014434674,-0.36340000000000305,-0.6127900556037384,0.09768718129869601,8.823529411764714,1.960784313725492
86,86,-2.5999499999999984,0.17134174558155757,-0.37994999999999823,-0.6407023555399556,0.09417437792384477,10.000000000000005,2.222222222222223
87,87,-2.6333500000000014,0.18144058745666683,-0.4133500000000012,-0.697034798664202,0.08871844685114243,11.176470588235295,2.4836601307189543
88,88,-2.6,0.19517966556957678,-0.3799999999999999,-0.6407866836384501,0.09416466108534777,12.352941176470587,2.745098039215686
89,89,-2.4334000000000033,0.15958932303090637,-0.21340000000000314,-0.3598317670470271,0.19285136105261394,13.529411764705877,3.006535947712417
90,90,-2.733349999999999,0.204132180690079,-0.5133499999999986,-0.8657117941044651,0.08157274951425288,14.705882352941186,3.2679738562091525
91,91,-2.4999499999999983,0.18573847113230155,-0.27994999999999814,-0.4720562936572466,0.12892842414581612,15.882352941176478,3.529411764705884
92,92,-2.2999500000000013,0.1934403675070175,-0.07995000000000108,-0.13480740159423665,0.9152436343500128,17.058823529411768,3.790849673202615
93,93,-2.4000500000000016,0.16981545547394697,-0.18005000000000138,-0.30359521453907445,0.2678770331753084,18.235294117647058,4.052287581699346
94,94,-2.0833499999999985,0.19148223652322208,0.13665000000000171,0.23041353413738208,0.08459958801705575,19.41176470588235,4.313725490196078
95,95,-2.4833500000000015,0.12660518027495443,-0.2633500000000013,-0.44406278794376347,0.13966449908318387,20.588235294117656,4.575163398692812
96,96,-2.3,0.18329878778063932,-0.07999999999999963,-0.13489170953517432,0.9173688266547523,21.764705882352946,4.836601307189543
97,97,-2.35,0.15492359134454828,-0.1299999999999999,-0.21920035689649991,0.718769730775428,22.941176470588236,5.098039215686274
98,98,-2.283299999999997,0.23911562197250158,-0.0632999999999968,-0.10673291769487522,0.5156330735133563,24.11764705882353,5.359477124183006
99,99,0.18334999999999865,0.6432839729237796,2.4033499999999988,4.066022420302735,0.006621742912410041,25.29411764705882,5.620915032679737
100,100,3.383300000000003,0.47799148099393746,5.603300000000003,9.628185968424832,0.21130596781011612,26.470588235294127,5.882352941176473
101,101,5.833250000000001,0.321302517909596,8.053250000000002,14.146912359477417,0.5140705805631447,27.647058823529417,6.143790849673204
102,102,6.9333,0.3101384034304803,9.1533,16.29893227022773,0.4091509319975542,28.82352941176471,6.405228758169936
