Temp,mean,std
70,0.11518084863333333,0.0001330773317923209
72,0.11495077423333333,0.0004791071433380307
76,0.1151809893,0.00035211237098734297
79,0.11410801346666667,0.0005296260340581933
80,0.11456710576666666,0.00026554515490545403
81,0.114107802,0.0003504531514327139
82,0.11395491213333335,0.00039740266104903776
83,0.11364955556666667,0.0005763060508472194
84,0.1131918736,0.0005752405775892875
88,0.11433738343333334,0.00035077603748284226
90,0.114873942,0.00039850055032092857
92,0.11487388923333335,0.00034527002722808085
95,0.114490696,0.0004782277596544585
99,0.11364927346666669,0.0003498069974061461
101,0.11334391673333334,0.0001321011479571767
103,0.11281088343333334,0.000395202841053369
105,0.11235461323333333,0.00022785250823428188
107,0.11152067463333333,0.00034693909093261023
108,0.11121800320000001,0.00022679120828841292
112,0.1075422432,0.00034103376633053334
113,0.1071037045,0.0005209567297194327
114,0.1045840303,0.000509442734672735
117,0.09935488969999999,0.00012430842043381288
118,0.0992831202,0.0
120,0.09885315359999998,0.0
121,0.09867429906666665,0.00016391223260285318
122,0.09849553493333334,0.0001238075690752881
