applied field (V/μm),current (nC) T068
Sm4,Sm4
67.9,67.9
-18.6518771331058,-6.938893903907228e-16
-18.600682593856654,-0.04367030567685692
-18.293515358361773,0.2136593886462871
-18.02047781569966,0.4084890829694311
-17.66211604095563,0.5603187772925761
-17.35494880546075,0.8681484716157201
-17.005119453924916,1.0314781659388637
-16.670648464163822,1.2108078602620076
-16.406143344709893,1.4561375545851523
-16.182593856655288,1.5884672489082963
-15.91296928327645,1.7947969432314401
-15.568259385665526,2.0364266375545843
-15.242320819112628,2.250656331877728
-14.969283276450511,2.4531860262008727
-14.668941979522184,2.6830657205240174
-14.349829351535833,2.881945414847161
-14.052901023890783,2.873275109170305
-13.774744027303756,3.1266048034934486
-13.470989761092149,3.3799344978165933
-13.223549488054607,3.418264192139737
-12.943686006825937,3.632593886462881
-12.66382252559727,3.8899235807860255
-12.368600682593854,4.065253275109169
-12.013651877133107,4.056582969432314
-11.70136518771331,4.134412663755458
-11.496587030716723,4.317242358078602
-11.228668941979521,3.8985720524017458
-10.909556313993173,4.612901746724889
-10.607508532423209,4.5027314410480335
-10.312286689419793,4.693561135371178
-10.003412969283277,4.896390829694322
-9.733788395904437,4.954220524017466
-9.42150170648464,5.19605021834061
-9.15529010238908,5.359379912663755
-8.899317406143345,5.5072096069868985
-8.602389078498293,5.819039301310044
-8.235494880546076,5.886368995633187
-7.979522184300341,6.052198689956331
-7.617747440273036,6.363028384279475
-7.291808873720136,6.45885807860262
-7.027303754266212,6.819687772925764
-6.7133105802047774,7.0055174672489064
-6.455631399317405,7.261347161572051
-6.184300341296927,7.722176855895197
-5.885665529010238,7.948006550218341
-5.5563139931740615,8.283836244541485
-5.223549488054608,8.859665938864628
-4.849829351535837,9.185495633187774
-4.5563139931740615,9.836325327510917
-4.324232081911263,10.407155021834061
-4.063139931740614,11.187984716157205
-3.7081911262798632,12.040855895196506
-3.3754266211604094,12.987602620087337
-3.081911262798635,14.247515283842793
-2.771331058020478,16.08834497816594
-2.4761092150170643,18.595091703056767
-2.2645051194539247,21.64500436681223
-1.9897610921501705,25.73175109170306
-1.6133105802047782,31.521663755458512
-1.2199658703071672,38.96249344978166
-0.9360068259385664,48.344240174672485
-0.6733788395904436,59.099152838427955
-0.3720136518771331,70.99589956331879
0.014665529010238905,82.53081222707425
0.3252559726962457,92.77164192139738
0.5786689419795221,100.71838864628822
0.8360068259385665,105.95330131004366
1.2119453924914676,107.9000480349345
1.541296928327645,107.53496069868996
1.7593856655290099,104.82579039301312
2.052901023890785,101.02253711790395
2.361774744027304,96.50744978165939
2.6638225255972694,91.80419650655023
2.9436860068259385,87.03910917030568
3.213310580204778,82.72993886462882
3.5358361774744025,78.32668558951966
3.853242320819112,74.46159825327513
4.160409556313994,70.75834497816594
4.520477815699658,67.2932576419214
4.829351535836177,64.08408733624454
5.122866894197951,60.980834061135376
5.428327645051195,57.91574672489083
5.752559726962458,55.46249344978166
6.061433447098977,53.14740611353711
6.279863481228669,50.98823580786027
6.561433447098977,48.9849825327511
6.885665529010239,47.009895196506555
7.177474402730375,45.14664192139738
7.448805460750854,43.261554585152844
7.7457337883959045,41.50738427947598
8.025597269624573,39.71913100436681
8.370307167235495,37.929043668122276
8.69112627986348,36.095790393013104
8.959044368600683,34.430703056768564
9.249146757679181,32.5715327510917
9.556313993174061,30.553279475982535
9.883959044368602,28.713192139737995
10.208191126279862,26.509938864628822
10.494880546075084,24.389851528384277
10.793515358361773,22.17068122270742
11.085324232081913,20.062427947598252
11.387372013651875,17.89234061135371
11.686006825938566,15.71408733624454
11.994880546075084,13.328999999999997
12.26962457337884,11.254829694323142
12.52730375426621,9.331576419213972
12.8259385665529,7.601489082969432
13.081911262798634,6.143235807860262
13.416382252559726,4.7131484716157175
13.708191126279862,3.4589781659388636
14.008532423208191,2.5657248908296926
14.293515358361772,1.9115545851528362
14.561433447098976,1.1058842794759807
14.899317406143345,0.6542969432314383
15.237201365187714,0.16912663755458412
15.522184300341298,-0.2375436681222719
15.81569965870307,-0.3027969432314433
16.127986348122867,-0.6039672489083006
16.395904436860064,-0.7940545851528411
16.667235494880547,-0.7087248908296956
16.976109215017065,-0.966895196506553
17.269624573378838,-0.7701484716157219
17.50853242320819,-0.8453187772925801
17.84982935153584,-0.8749061135371203
18.156996587030715,-0.7310764192139746
18.464163822525595,-0.8332467248908321
18.754266211604097,-2.081668171172169e-15
